show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Wicked,Carlos Mendez,"Anika Das, Nina Petrova",India,"November 28, 2017",2016,PG-13,70 min,Horror Movies,Ambition is tested when secrets surface in this touching drama.
s2,Movie,Fading Waters,Yuki Tanaka,"Emma Rodriguez, Yumiko Hayashi","United Kingdom, Spain, South Korea","May 9, 2020",2019,TV-MA,72 min,Children & Family Movies,"When a family reunion upends everything, a small community must uncover the truth."
s3,Movie,Into the Village,Marie Dubois,"Yumiko Hayashi, Aisha Johnson, Anya Sokolova, Lucas Andersson",Spain,"November 25, 2018",2018,R,83 min,"International Movies, Horror Movies",A reluctant artist is drawn into an unexpected truth in this compelling film.
s4,TV Show,House in the Northern Door,David Kim,"Hiroshi Yamada, Ji-Hye Kim, Elena Popova, Valentina Rossi, Alejandro Reyes",India,"June 18, 2020",2018,TV-MA,2 Seasons,"International TV Shows, Docuseries","In a war-torn country, a misunderstood loner embarks on a dangerous mission."
s5,Movie,Beyond the Garden,Diego Morales,"Emma Rodriguez, Thomas Fischer, Ahmed El-Sayed, Chloe Dubois, Chris O'Malley",United States,"June 3, 2022",2020,PG,73 min,"Comedies, Action & Adventure",Friendship is tested when alliances shift in this touching drama.
s6,TV Show,Mountain of Empires,Raj Patel,"Simone Costa, Omar Diallo, Nina Petrova, Zara Khan, Kenji Mori",India,"June 10, 2020",2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas",This award-winning series chronicles life in a changing world.
s7,TV Show,Project Empire,Marie Dubois,"Priyanka Reddy, Blessing Okafor, Sophie Laurent, Rosa Fernandez, Roberto Mendez","Japan, Romania","February 11, 2023",2023,TV-14,1 Season,"International TV Shows, Kids' TV","When a chance encounter changes their lives, unlikely allies must uncover the truth."
s8,TV Show,House,Ji-Yeon Lee,"Mei Chen, Priya Desai, Paulo Oliveira",United Kingdom,"May 13, 2021",2021,TV-PG,2 Seasons,"Reality TV, International TV Shows",This visually stunning series explores the cost of ambition.
s9,Movie,The Hollow Moon,Hana Park,"Nadia Ali, Fatima Hassan",India,"November 26, 2020",2013,TV-MA,77 min,"International Movies, Children & Family Movies",This emotionally charged film examines life in a changing world.
s10,TV Show,Road in the Rural Shadow,,"Vikram Sharma, Lucas Andersson, Yuna Lee",South Korea,"October 25, 2018",2006,TV-14,1 Season,"TV Comedies, TV Dramas",Ambition is tested when danger strikes in this suspenseful series.
s11,Movie,When Winds Fall,Mei Lin,"Yuki Sato, Thomas Fischer, Liam Nakamura, David Okafor, Soo-Jin Park",France,"March 14, 2022",2018,TV-MA,130 min,"International Movies, Romantic Movies","When a chance encounter changes their lives, unlikely allies must find common ground."
s12,Movie,The Last Secret,Carlos Mendez,"Deepika Iyer, Emma Rodriguez, Priya Desai",Canada,"July 1, 2022",2018,PG,70 min,Action & Adventure,"After years abroad, a woman escapes to protect loved ones."
s13,Movie,Iron Waters,Alejandro Cruz,"David Okafor, Kofi Asante, Alejandro Reyes, Yuna Lee, Marco Bianchi",United Kingdom,"April 21, 2021",2020,TV-MA,103 min,"Stand-Up Comedy, Children & Family Movies, Action & Adventure",A troubled chef navigates a mysterious past in this compelling film.
s14,Movie,The Northern Darkness,Mei Lin,"Mei Chen, Yuki Sato, Chris O'Malley",Italy,"September 22, 2022",2021,TV-MA,97 min,"Comedies, Thrillers, Documentaries",Courage is tested when the stakes are raised in this suspenseful drama.
